drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,line_number,record_index,record_status,raw_record,source_pdbqt
diazepam,alpha1,2026091901,1,-10.124,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.124      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,2,-9.433,3.01,5.965,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.433      3.010      5.965,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,3,-9.246,2.549,3.352,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -9.246      2.549      3.352,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,4,-8.813,1.845,4.704,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -8.813      1.845      4.704,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,5,-7.847,3.339,5.005,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -7.847      3.339      5.005,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,6,-6.717,5.133,7.245,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.717      5.133      7.245,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,7,-6.643,5.08,7.178,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.643      5.080      7.178,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,8,-6.603,4.729,7.072,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.603      4.729      7.072,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091901,9,-6.563,6.296,8.891,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.563      6.296      8.891,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091902,1,-10.124,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.124      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,2,-9.397,3.007,5.975,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.397      3.007      5.975,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,3,-9.234,2.556,3.376,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -9.234      2.556      3.376,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,4,-8.593,1.766,4.568,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -8.593      1.766      4.568,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,5,-8.289,3.121,5.022,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -8.289      3.121      5.022,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,6,-7.697,3.06,4.579,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -7.697      3.060      4.579,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,7,-7.627,2.507,4.921,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -7.627      2.507      4.921,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,8,-7.258,4.199,6.61,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -7.258      4.199      6.610,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091902,9,-6.658,4.184,6.341,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.658      4.184      6.341,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091903,1,-10.155,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.155      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,2,-9.439,2.987,5.985,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.439      2.987      5.985,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,3,-9.249,2.543,3.352,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -9.249      2.543      3.352,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,4,-8.829,1.854,4.711,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -8.829      1.854      4.711,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,5,-8.305,3.121,5.002,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -8.305      3.121      5.002,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,6,-8.032,2.334,4.959,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -8.032      2.334      4.959,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,7,-7.223,4.25,6.662,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -7.223      4.250      6.662,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,8,-7.152,2.931,4.794,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -7.152      2.931      4.794,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091903,9,-6.695,4.62,7.208,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.695      4.620      7.208,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091904,1,-10.153,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.153      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,2,-9.442,2.987,5.957,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.442      2.987      5.957,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,3,-9.264,2.63,3.464,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -9.264      2.630      3.464,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,4,-8.568,2.972,5.373,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -8.568      2.972      5.373,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,5,-8.248,2.997,6.078,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -8.248      2.997      6.078,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,6,-7.948,3.561,5.267,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -7.948      3.561      5.267,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,7,-7.268,4.238,6.641,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -7.268      4.238      6.641,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,8,-6.514,3.607,6.941,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.514      3.607      6.941,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091904,9,-6.39,4.147,6.353,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.390      4.147      6.353,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091905,1,-10.13,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.130      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,2,-9.436,3.004,5.963,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -9.436      3.004      5.963,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,3,-9.243,2.554,3.357,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -9.243      2.554      3.357,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,4,-8.81,1.844,4.703,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -8.810      1.844      4.703,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,5,-7.904,3.277,4.855,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -7.904      3.277      4.855,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,6,-7.858,3.056,6.194,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -7.858      3.056      6.194,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,7,-7.355,3.398,6.129,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -7.355      3.398      6.129,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
