drug_id,molecule_chembl_id,canonical_smiles,standard_inchikey,source_file,source_sha256,source_run,rdkit_rotatable_bonds,pdbqt_branch_count,torsdof,torsion_qc,unassigned_stereocentres,stereochemistry_flag,formal_charge,mmff_converged,pdbqt_sha256
diazepam,CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,raw/responses/request_00009.json.gz,ee0b3e7e09eae193e3bf636a5cb5c4a51da08b78ecea76d2054664ee2f7a218e,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,1,1,1,consistent,[],no_unassigned_atom_stereocentre,0,True,7fc847e735c8de8c9520058b03d47a7dbe413812aacbebc1966073252cc4d13f
alprazolam,CHEMBL661,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N,raw/responses/request_00029.json.gz,496a5884b1c6627526ffad3abdf3433d03f5874732e53a5928170a818b4ff1ce,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,1,1,1,consistent,[],no_unassigned_atom_stereocentre,0,True,bd2fbb8eb21a0c129e8ba468b82cd703173902b923d5b8f17c4c61b5696d7102
triazolam,CHEMBL646,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,JOFWLTCLBGQGBO-UHFFFAOYSA-N,raw/responses/request_00047.json.gz,41763168eb4ad3626548b65f25dae1d5987988d490ad2b2b5a690589b35a23a0,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,1,1,1,consistent,[],no_unassigned_atom_stereocentre,0,True,f001f1fea9752a76e54e18a190013380fa7100fdaabbc0a867866d1ea8fa12bc
zolpidem,CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,ZAFYATHCZYHLPB-UHFFFAOYSA-N,raw/responses/request_00053.json.gz,3d72ebd13c5ecbff566aba18b7f501ac5b6e08fd8f2e710e8a09f705527d383f,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,3,3,3,consistent,[],no_unassigned_atom_stereocentre,0,True,94a1aaf616ade727bdb06444ada6471effdd02201c08d49954f8f79ef00b9592
lorazepam,CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N,raw/responses/request_00017.json.gz,3995c81a73d6df7f3e10b2f4966d8b29f943f1c60eb7c05caca92ac04f2526b9,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,1,2,2,definition_difference_requires_review,[19],source_unspecified_single_sample_not_known_isomer,0,True,fcfe5c0de74fd7078352d05a805206d8cae4c226b1e8abd3b1ea1502ca45561a
clonazepam,CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,DGBIGWXXNGSACT-UHFFFAOYSA-N,raw/responses/request_00023.json.gz,b381bcd6cd203344449360921e57f282f253d9d2bf6bd665224e423947b8eb35,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,2,2,2,consistent,[],no_unassigned_atom_stereocentre,0,True,0954fb07c83527a769d1cd81be22000aca55fab4ad3ee7e5581ece8743ee4173
midazolam,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DDLIGBOFAVUZHB-UHFFFAOYSA-N,raw/responses/request_00035.json.gz,c8cff39a9b12b00c8d170a79bf8410bd16a32048b9d181d2e197bdbb90efcd10,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,1,1,1,consistent,[],no_unassigned_atom_stereocentre,0,True,3273ec8905f3aeec5eb1991e694bafce82b42d73f180026caedd462693f5d8c5
temazepam,CHEMBL967,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,SEQDDYPDSLOBDC-UHFFFAOYSA-N,raw/responses/request_00041.json.gz,3564a3ed74a3729191fd2d1881b08bd20c81003abf44146e796413d8e2be730d,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,1,2,2,definition_difference_requires_review,[4],source_unspecified_single_sample_not_known_isomer,0,True,335396324a34fe73f14ef1cf62b29004069a6a9023c763b02533bd13fbd31708
zopiclone,CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,GBBSUAFBMRNDJC-UHFFFAOYSA-N,raw/responses/request_00059.json.gz,474c30146739f50e1c683713aa040bf8301ec9ea32b90d12f4a8a5fc1a499081,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,2,3,3,definition_difference_requires_review,[8],source_unspecified_single_sample_not_known_isomer,0,True,bc5c31cc2bed6550b60b50f72e0225cdbf7bfeb4df744b53feeba1be9f2cf78b
zaleplon,CHEMBL1521,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,HUNXMJYCHXQEGX-UHFFFAOYSA-N,raw/responses/request_00065.json.gz,0e1f215f955873b855e86357cb76430a737bc1f86fb8c3b336c3b2d0d27fc467,runs/20260918_1117_chembl_acquisition/processed/compounds.csv,3,4,4,definition_difference_requires_review,[],no_unassigned_atom_stereocentre,0,True,b66de494c2f2d6385dd4d9ab38d1a603860a54f9f6569fd622921c05b050c525
