drug,clinical_term,exposed_target_reports,a_target_event,b_target_nonevent,c_comparator_event,d_comparator_nonevent,comparator_reports,background_event_reports,total_reports,raw_estimable,estimable,missingness_reason,logROR,raw_logROR_before_low_count_mask,exact_drug_normalization_rule,synonym_rule,frozen_Y_reused,date_window,roles,source
diazepam,Ataxia,118049,375,117674,11089,19889394,19900483,11464,20018532,True,True,,1.7432409355600527,1.7432409355600527,"(patient.drug.openfda.generic_name.exact:""DIAZEPAM"" OR patient.drug.medicinalproduct.exact:""DIAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
diazepam,Balance disorder,118049,1355,116694,82183,19818300,19900483,83538,20018532,True,True,,1.0296588944790876,1.0296588944790876,"(patient.drug.openfda.generic_name.exact:""DIAZEPAM"" OR patient.drug.medicinalproduct.exact:""DIAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
diazepam,Coordination abnormal,118049,335,117714,13313,19887170,19900483,13648,20018532,True,True,,1.4472063768972525,1.4472063768972525,"(patient.drug.openfda.generic_name.exact:""DIAZEPAM"" OR patient.drug.medicinalproduct.exact:""DIAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
diazepam,Gait disturbance,118049,2287,115762,183209,19717274,19900483,185496,20018532,True,True,,0.7543273613777952,0.7543273613777952,"(patient.drug.openfda.generic_name.exact:""DIAZEPAM"" OR patient.drug.medicinalproduct.exact:""DIAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
triazolam,Ataxia,3893,12,3881,11452,20003187,20014639,11464,20018532,True,True,,1.6865410210244924,1.6865410210244924,"(patient.drug.openfda.generic_name.exact:""TRIAZOLAM"" OR patient.drug.medicinalproduct.exact:""TRIAZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
triazolam,Balance disorder,3893,29,3864,83509,19931130,20014639,83538,20018532,True,True,,0.5829213342185433,0.5829213342185433,"(patient.drug.openfda.generic_name.exact:""TRIAZOLAM"" OR patient.drug.medicinalproduct.exact:""TRIAZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
triazolam,Coordination abnormal,3893,4,3889,13644,20000995,20014639,13648,20018532,True,False,target_event_count_below_5,NA,0.41062446370638206,"(patient.drug.openfda.generic_name.exact:""TRIAZOLAM"" OR patient.drug.medicinalproduct.exact:""TRIAZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
triazolam,Gait disturbance,3893,62,3831,185434,19829205,20014639,185496,20018532,True,True,,0.5484653466939395,0.5484653466939395,"(patient.drug.openfda.generic_name.exact:""TRIAZOLAM"" OR patient.drug.medicinalproduct.exact:""TRIAZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,True,20040101-20251231,all,openFDA FAERS report-document counts
brotizolam,Ataxia,4473,7,4466,11457,20002602,20014059,11464,20018532,True,True,,1.006678463817579,1.006678463817579,"(patient.drug.openfda.generic_name.exact:""BROTIZOLAM"" OR patient.drug.medicinalproduct.exact:""BROTIZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
brotizolam,Balance disorder,4473,6,4467,83532,19930527,20014059,83538,20018532,True,True,,-1.1379347886924318,-1.1379347886924318,"(patient.drug.openfda.generic_name.exact:""BROTIZOLAM"" OR patient.drug.medicinalproduct.exact:""BROTIZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
brotizolam,Coordination abnormal,4473,0,4473,13648,20000411,20014059,13648,20018532,True,False,target_event_count_below_5,NA,-1.809195057705848,"(patient.drug.openfda.generic_name.exact:""BROTIZOLAM"" OR patient.drug.medicinalproduct.exact:""BROTIZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
brotizolam,Gait disturbance,4473,38,4435,185458,19828601,20014059,185496,20018532,True,True,,-0.08764450698179616,-0.08764450698179616,"(patient.drug.openfda.generic_name.exact:""BROTIZOLAM"" OR patient.drug.medicinalproduct.exact:""BROTIZOLAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
lormetazepam,Ataxia,5825,13,5812,11451,20001256,20012707,11464,20018532,True,True,,1.3627426209044504,1.3627426209044504,"(patient.drug.openfda.generic_name.exact:""LORMETAZEPAM"" OR patient.drug.medicinalproduct.exact:""LORMETAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
lormetazepam,Balance disorder,5825,65,5760,83473,19929234,20012707,83538,20018532,True,True,,0.9911142678796434,0.9911142678796434,"(patient.drug.openfda.generic_name.exact:""LORMETAZEPAM"" OR patient.drug.medicinalproduct.exact:""LORMETAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
lormetazepam,Coordination abnormal,5825,8,5817,13640,19999067,20012707,13648,20018532,True,True,,0.7013358468017383,0.7013358468017383,"(patient.drug.openfda.generic_name.exact:""LORMETAZEPAM"" OR patient.drug.medicinalproduct.exact:""LORMETAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
lormetazepam,Gait disturbance,5825,48,5777,185448,19827259,20012707,185496,20018532,True,True,,-0.11840031712461752,-0.11840031712461752,"(patient.drug.openfda.generic_name.exact:""LORMETAZEPAM"" OR patient.drug.medicinalproduct.exact:""LORMETAZEPAM"")",uppercase exact generic OR medicinalproduct; no brand expansion; no summed synonyms,False,20040101-20251231,all,openFDA FAERS report-document counts
