drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,line_number,record_index,record_status,raw_record,source_pdbqt
brotizolam,alpha1,2026091901,1,-10.262,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.262      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091901/poses.pdbqt
brotizolam,alpha1,2026091902,1,-10.206,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091902/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.206      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091902/poses.pdbqt
brotizolam,alpha1,2026091903,1,-10.215,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091903/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.215      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091903/poses.pdbqt
brotizolam,alpha1,2026091904,1,-10.26,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091904/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.260      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091904/poses.pdbqt
brotizolam,alpha1,2026091905,1,-10.205,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091905/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.205      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha1/2026091905/poses.pdbqt
brotizolam,alpha2,2026091901,1,-6.95,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -6.950      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091901/poses.pdbqt
brotizolam,alpha2,2026091902,1,-6.974,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091902/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -6.974      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091902/poses.pdbqt
brotizolam,alpha2,2026091903,1,-6.967,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091903/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -6.967      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091903/poses.pdbqt
brotizolam,alpha2,2026091904,1,-6.968,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091904/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -6.968      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091904/poses.pdbqt
brotizolam,alpha2,2026091905,1,-6.976,0.0,0.0,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091905/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -6.976      0.000      0.000,raw/archives/brotizolam.tar.gz::brotizolam/alpha2/2026091905/poses.pdbqt
diazepam,alpha1,2026091901,1,-10.124,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.124      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091902,1,-10.124,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.124      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091903,1,-10.155,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.155      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091904,1,-10.153,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.153      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091905,1,-10.13,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.130      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha2,2026091901,1,-7.902,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -7.902      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
